system:time_start;0;GPP
Apr 14;2020;658.332
Apr 22;2020;737.128
Apr 30;2020;642.883
May 8;2020;594.114
May 16;2020;585.260
May 24;2020;564.483
Jun 1;2020;487.836
Jun 9;2020;454.066
Jun 17;2020;572.122
Jun 25;2020;487.013
Jul 3;2020;533.719
Jul 11;2020;500.773
Jul 19;2020;625.976
Jul 27;2020;540.213
Aug 4;2020;673.461
Aug 12;2020;577.884
Aug 20;2020;526.793
Aug 28;2020;719.913
Sep 5;2020;701.976
Sep 13;2020;645.560
Sep 21;2020;603.149
Sep 29;2020;769.597
Oct 7;2020;803.305
Oct 15;2020;837.409
Oct 23;2020;769.536
Oct 31;2020;811.003
Nov 8;2020;698.895
Nov 16;2020;842.338
Nov 24;2020;1007.477
Dec 2;2020;683.658
Dec 10;2020;637.081
Dec 18;2020;847.839
Dec 26;2020;412.694
Jan 1;2021;729.609
Jan 9;2021;896.392
Jan 17;2021;1112.405
Jan 25;2021;883.048
Feb 2;2021;705.040
Feb 10;2021;696.614
Feb 18;2021;834.335
Feb 26;2021;679.975
Mar 6;2021;632.721
Mar 14;2021;783.628
Mar 22;2021;826.205
Mar 30;2021;812.549
Apr 7;2021;787.093
Apr 15;2021;692.128
Apr 23;2021;645.258
May 1;2021;646.216
May 9;2021;544.010
May 17;2021;574.633
May 25;2021;471.969
Jun 2;2021;548.159
Jun 10;2021;515.840
Jun 18;2021;463.838
Jun 26;2021;560.143
Jul 4;2021;556.737
Jul 12;2021;541.817
Jul 20;2021;582.382
Jul 28;2021;514.344
Aug 5;2021;602.060
Aug 13;2021;616.243
Aug 21;2021;603.753
Aug 29;2021;705.464
Sep 6;2021;567.531
Sep 14;2021;681.776
Sep 22;2021;756.969
Sep 30;2021;720.820
Oct 8;2021;635.314
Oct 16;2021;643.526
Oct 24;2021;544.338
Nov 1;2021;813.302
Nov 9;2021;745.198
Nov 17;2021;927.135
Nov 25;2021;885.659
Dec 3;2021;855.741
Dec 11;2021;631.809
Dec 19;2021;1053.507
Dec 27;2021;472.585
Jan 1;2022;500.918
Jan 9;2022;669.684
Jan 17;2022;1095.263
Jan 25;2022;678.968
Feb 2;2022;596.596
Feb 10;2022;781.286
Feb 18;2022;646.727
Feb 26;2022;982.465
Mar 6;2022;839.284
Mar 14;2022;805.062
Mar 22;2022;734.393
Mar 30;2022;683.052
Apr 7;2022;746.467
Apr 15;2022;760.757
Apr 23;2022;715.678
May 1;2022;668.927
May 9;2022;572.133
May 17;2022;587.221
May 25;2022;565.848
Jun 2;2022;479.695
Jun 10;2022;461.434
Jun 18;2022;551.943
Jun 26;2022;544.763
Jul 4;2022;592.525
Jul 12;2022;529.979
Jul 20;2022;628.038
Jul 28;2022;602.922
Aug 5;2022;489.757
Aug 13;2022;599.586
Aug 21;2022;635.589
Aug 29;2022;623.743
